state,pect_urban,full_imm_percent,percent_elderly,more_than_4_prop,cold_chain_points_per_10000,storage_cap_lit_per_10000,density,dust_pop,confirmed,active,recovered,deceased,district,morbidity_percent
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.0042902570571705925,1793291.264,11011,429,10207,0.03397085610200364,Ratnagiri,0.4728682170542635
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.0071979398178483225,3136479.4,49881,349,47772,0.1600182149362477,Sangli,0.29844961240310075
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.00627072074610021,3340361.264,53807,1101,50965,0.1576502732240437,Satara,0.6569767441860465
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.0035565619497422494,943941.216,5883,464,5264,0.014025500910746813,Sindhudurg,0.26744186046511625
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.006335628146877736,4798866.024,52289,1244,49311,0.15664845173041894,Solapur,0.3798449612403101
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.057547396359036884,12298884.576,249883,10599,233744,0.49918032786885247,Thane,0.24031007751937986
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.004487000208986017,1441326.584,9012,418,8350,0.02185792349726776,Wardha,0.38178294573643407
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.005072630618770277,1330745.9679999999,6640,218,6272,0.01347905282331512,Washim,0.4127906976744186
Maharashtra,0.40231445414353,0.7281045751633987,0.674698795180723,0.01822471143240592,0.1687391287987956,0.1687391287987956,0.004462927765387665,3086308.184,13219,445,12379,0.035610200364298725,Yavatmal,0.377906976744186
Manipur,0.21925178347184943,0.4457516339869281,0.32530120481927716,0.029148339538916587,0.2905461394898413,0.2905461394898413,0.01060982811549457,267283.656,1233,1155,58,0.0018214936247723133,Bishnupur,0.751937984496124
Manipur,0.21925178347184943,0.4457516339869281,0.32530120481927716,0.029148339538916587,0.2905461394898413,0.2905461394898413,0.000933272244173791,160159.136,347,334,4,0.000819672131147541,Chandel,0.6453488372093025
Manipur,0.21925178347184943,0.4457516339869281,0.32530120481927716,0.029148339538916587,0.2905461394898413,0.2905461394898413,0.0012817186957436988,301656.688,1391,1309,58,0.002185792349726776,Churachandpur,0.6918604651162792
Manipur,0.21925178347184943,0.4457516339869281,0.32530120481927716,0.029148339538916587,0.2905461394898413,0.2905461394898413,0.0139644751012677,503359.032,5303,5218,16,0.006284153005464481,Imphal East,0.6439645625692136
Manipur,0.21925178347184943,0.4457516339869281,0.32530120481927716,0.029148339538916587,0.2905461394898413,0.2905461394898413,0.021731733742824638,572327.496,8293,8151,52,0.00819672131147541,Imphal West,0.6439645625692136
Manipur,0.21925178347184943,0.4457516339869281,0.32530120481927716,0.029148339538916587,0.2905461394898413,0.2905461394898413,0.004123455779725588,48725.616,263,261,2,0.0,Jiribam,0.6439645625692136
Manipur,0.21925178347184943,0.4457516339869281,0.32530120481927716,0.029148339538916587,0.2905461394898413,0.2905461394898413,0.00048115818586164886,50724.992,251,234,17,0.0,Kamjong,0.6439645625692136
Manipur,0.21925178347184943,0.4457516339869281,0.32530120481927716,0.029148339538916587,0.2905461394898413,0.2905461394898413,0.0004344477146024017,52542.0,37,22,15,0.0,Pherzawl,0.6439645625692136
Manipur,0.21925178347184943,0.4457516339869281,0.32530120481927716,0.029148339538916587,0.2905461394898413,0.2905461394898413,0.0023612375075978873,394506.464,470,448,21,9.107468123861566e-05,Senapati,0.7422480620155039
Manipur,0.21925178347184943,0.4457516339869281,0.32530120481927716,0.029148339538916587,0.2905461394898413,0.2905461394898413,0.0006809256179868858,155839.016,1319,1282,32,0.0004553734061930783,Tamenglong,0.4244186046511627
Manipur,0.21925178347184943,0.4457516339869281,0.32530120481927716,0.029148339538916587,0.2905461394898413,0.2905461394898413,0.017925091655268913,467614.904,2247,2185,23,0.0035519125683060107,Thoubal,0.7829457364341085
Manipur,0.21925178347184943,0.4457516339869281,0.32530120481927716,0.029148339538916587,0.2905461394898413,0.2905461394898413,0.0008641921850593947,203623.88,532,512,18,0.00018214936247723133,Ukhrul,0.46899224806201545
Meghalaya,0.11477051904369392,0.2588235294117647,0.048192771084337394,0.028937097827650624,0.4301349977198264,0.4301349977198264,0.0026572011349228737,353191.216,338,11,326,9.107468123861566e-05,East Garo Hills,0.2751937984496124
Meghalaya,0.11477051904369392,0.2588235294117647,0.048192771084337394,0.028937097827650624,0.4301349977198264,0.4301349977198264,0.006548603130292621,916353.608,8112,353,7651,0.009836065573770491,East Khasi Hills,0.16666666666666666
